FECHA,CONGRESO,ipc_2016_nivgeneral
15/06/2018,,3.9248
15/05/2018,,1.9293
15/04/2018,,2.5731
15/03/2018,,2.4649
15/02/2018,,2.5797
15/01/2018,,1.5799
15/12/2017,3.1,3.4287
15/11/2017,1.4,1.1679
15/10/2017,1.5,1.2994
15/09/2017,1.6,2.0436
15/08/2017,1.5,1.4775
15/07/2017,2.1,1.7194
15/06/2017,1.3,1.3884
15/05/2017,1.8,1.2831
15/04/2017,2.1,2.6337
15/03/2017,2.2,2.3642
15/02/2017,2.1,2.4632
15/01/2017,1.6,1.313
15/12/2016,1.6,1.1976
15/11/2016,1.9,1.6184
15/10/2016,2.9,2.3593
15/09/2016,0.8,1.1491
15/08/2016,0.5,0.202
15/07/2016,2.4,2.0468
15/06/2016,2.9,3.0759
15/05/2016,3.5,4.1934
15/04/2016,6.7,
15/03/2016,3.2,
15/02/2016,4.8,
15/01/2016,3.6,
15/12/2015,3.8,
15/11/2015,2.2,
15/10/2015,1.52,
15/09/2015,1.92,
15/08/2015,2.17,
15/07/2015,1.92,
15/06/2015,1.53,
15/05/2015,2,
15/04/2015,2.01,
15/03/2015,2.12,
15/02/2015,1.48,
15/01/2015,2.08,
15/12/2014,1.87,
15/11/2014,1.86,
15/10/2014,2.25,
15/09/2014,2.48,
15/08/2014,2.65,
15/07/2014,2.47,
15/06/2014,2.2,
15/05/2014,2.28,
15/04/2014,2.59,
15/03/2014,3.42,
15/02/2014,4.31,
15/01/2014,4.62,
15/12/2013,3.38,
15/11/2013,2.4,
15/10/2013,2,
15/09/2013,2.11,
15/08/2013,2.11,
15/07/2013,2.55,
15/06/2013,1.93,
15/05/2013,1.57,
15/04/2013,1.52,
15/03/2013,1.54,
15/02/2013,1.23,
15/01/2013,2.58,
15/12/2012,2.1,
15/11/2012,1.81,
15/10/2012,1.82,
15/09/2012,1.93,
15/08/2012,1.91,
15/07/2012,1.76,
15/06/2012,1.63,
15/05/2012,1.71,
15/04/2012,2.16,
15/03/2012,2.31,
15/02/2012,1.65,
15/01/2012,1.9,
15/12/2011,1.9,
15/11/2011,1.44,
15/10/2011,1.5,
15/09/2011,1.9,
15/08/2011,1.9,
15/07/2011,1.7,
15/06/2011,1.5,
15/05/2011,1.4,
15/04/2011,1.8,
15/03/2011,2.1,
15/02/2011,1.5,
15/01/2011,2.1,
