FECHA;VALOR
30/08/18;39.6083
29/08/18;31.9417
28/08/18;31.3517
27/08/18;30.9158
24/08/18;30.5683
23/08/18;30.2017
22/08/18;30.1950
21/08/18;29.9667
17/08/18;29.7942
16/08/18;29.8100
15/08/18;30.0050
14/08/18;29.4150
13/08/18;30.0083
10/08/18;29.2000
09/08/18;27.9700
08/08/18;27.5233
07/08/18;27.2717
06/08/18;27.3733
03/08/18;27.3817
02/08/18;27.6008
01/08/18;27.5117
31/07/18;27.3425
30/07/18;27.3392
27/07/18;27.3517
26/07/18;27.4400
25/07/18;27.3592
24/07/18;27.4892
23/07/18;27.6283
20/07/2018;27,6500
19/07/2018;27,7350
18/07/2018;27,6417
17/07/2018;27,4883
16/07/2018;27,2958
13/07/2018;27,2467
12/07/2018;27,1467
11/07/2018;27,4592
10/07/2018;27,5633
06/07/2018;28,0800
05/07/2018;28,1675
04/07/2018;28,0317
03/07/2018;27,9417
02/07/2018;28,7217
29/06/2018;28,8617
28/06/2018;27,8117
27/06/2018;27,2967
26/06/2018;27,1217
25/06/2018;27,0167
22/06/2018;27,2042
21/06/2018;27,5533
19/06/2018;27,7133
18/06/2018;27,8967
15/06/2018;27,8767
14/06/2018;27,0617
13/06/2018;25,7283
12/06/2018;25,8617
11/06/2018;25,4292
08/06/2018;25,4733
07/06/2018;24,9703
06/06/2018;24,9195
05/06/2018;24,9653
04/06/2018;24,9592
01/06/2018;24,9625
31/05/2018;24,9475
30/05/2018;24,9050
29/05/2018;24,9000
28/05/2018;24,7000
24/05/2018;24,5567
23/05/2018;24,4352
22/05/2018;24,3617
21/05/2018;24,2692
18/05/2018;24,6033
17/05/2018;24,3292
16/05/2018;24,0367
15/05/2018;24,7997
14/05/2018;24,7683
11/05/2018;23,2333
10/05/2018;22,6305
09/05/2018;22,5683
08/05/2018;22,7633
07/05/2018;21,8250
04/05/2018;21,6958
03/05/2018;21,7492
02/05/2018;20,9658
27/04/2018;20,6917
26/04/2018;20,4475
25/04/2018;20,2595
24/04/2018;20,2533
23/04/2018;20,2455
20/04/2018;20,1862
19/04/2018;20,1557
18/04/2018;20,1450
17/04/2018;20,1810
16/04/2018;20,2163
13/04/2018;20,2077
12/04/2018;20,1693
11/04/2018;20,1598
10/04/2018;20,1908
09/04/2018;20,1937
06/04/2018;20,2125
05/04/2018;20,1842
04/04/2018;20,1980
03/04/2018;20,1648
28/03/2018;20,1433
27/03/2018;20,1625
26/03/2018;20,1642
23/03/2018;20,2142
22/03/2018;20,2465
21/03/2018;20,2805
20/03/2018;20,2390
19/03/2018;20,2525
16/03/2018;20,2918
15/03/2018;20,2665
14/03/2018;20,1927
13/03/2018;20,1887
12/03/2018;20,2192
09/03/2018;20,2725
08/03/2018;20,3875
07/03/2018;20,3492
06/03/2018;20,1982
05/03/2018;20,2942
02/03/2018;20,2308
01/03/2018;20,1620
28/02/2018;20,1150
27/02/2018;20,1600
26/02/2018;20,0442
23/02/2018;19,9683
22/02/2018;19,9407
21/02/2018;19,9208
20/02/2018;19,9375
19/02/2018;19,8375
16/02/2018;19,6667
15/02/2018;19,7367
14/02/2018;20,0250
09/02/2018;20,1258
08/02/2018;19,8408
07/02/2018;19,6242
06/02/2018;19,6900
05/02/2018;19,5335
02/02/2018;19,5000
01/02/2018;19,4700
31/01/2018;19,6525
30/01/2018;19,5955
29/01/2018;19,5717
26/01/2018;19,5217
25/01/2018;19,4933
24/01/2018;19,5258
23/01/2018;19,3167
22/01/2018;19,0700
19/01/2018;18,9625
18/01/2018;18,8525
17/01/2018;18,8917
16/01/2018;18,8258
15/01/2018;18,7208
12/01/2018;18,7150
11/01/2018;18,6517
10/01/2018;18,7217
09/01/2018;19,0458
08/01/2018;19,0725
05/01/2018;18,8608
04/01/2018;18,6050
03/01/2018;18,4158
02/01/2018;18,5500
29/12/2017;18,7742
28/12/2017;18,8300
27/12/2017;18,4350
26/12/2017;18,2495
22/12/2017;18,0108
21/12/2017;17,8700
20/12/2017;17,7808
19/12/2017;17,5658
18/12/2017;17,5642
15/12/2017;17,5517
14/12/2017;17,3567
13/12/2017;17,3150
12/12/2017;17,2635
11/12/2017;17,2697
07/12/2017;17,3058
06/12/2017;17,2862
05/12/2017;17,3513
04/12/2017;17,2608
01/12/2017;17,2600
30/11/2017;17,3845
29/11/2017;17,4217
28/11/2017;17,3307
27/11/2017;17,3338
24/11/2017;17,3715
23/11/2017;17,4232
22/11/2017;17,4672
21/11/2017;17,5102
17/11/2017;17,4867
16/11/2017;17,4942
15/11/2017;17,5325
14/11/2017;17,4898
13/11/2017;17,5367
10/11/2017;17,5158
09/11/2017;17,5370
08/11/2017;17,5575
07/11/2017;17,6703
03/11/2017;17,5642
02/11/2017;17,5733
01/11/2017;17,6492
31/10/2017;17,6713
30/10/2017;17,6578
27/10/2017;17,6775
26/10/2017;17,5308
25/10/2017;17,4458
24/10/2017;17,4950
23/10/2017;17,3217
20/10/2017;17,4710
19/10/2017;17,4025
18/10/2017;17,3250
17/10/2017;17,3793
13/10/2017;17,3610
12/10/2017;17,4342
11/10/2017;17,4312
10/10/2017;17,4425
09/10/2017;17,4700
06/10/2017;17,5117
05/10/2017;17,3420
04/10/2017;17,3623
03/10/2017;17,4283
02/10/2017;17,3475
29/09/2017;17,3183
28/09/2017;17,5562
27/09/2017;17,5670
26/09/2017;17,6108
25/09/2017;17,4087
22/09/2017;17,3000
21/09/2017;17,2755
20/09/2017;17,1483
19/09/2017;17,1983
18/09/2017;17,0558
15/09/2017;16,9720
14/09/2017;17,0123
13/09/2017;17,0583
12/09/2017;17,1125
11/09/2017;17,2012
08/09/2017;17,2083
07/09/2017;17,2165
06/09/2017;17,2183
05/09/2017;17,2583
04/09/2017;17,2425
01/09/2017;17,2367
31/08/2017;17,3650
30/08/2017;17,4403
29/08/2017;17,3080
28/08/2017;17,2155
25/08/2017;17,2223
24/08/2017;17,1767
23/08/2017;17,2248
22/08/2017;17,2287
18/08/2017;17,2822
17/08/2017;17,2665
16/08/2017;17,1117
15/08/2017;17,0583
14/08/2017;17,1533
11/08/2017;17,7120
10/08/2017;17,7298
09/08/2017;17,7833
08/08/2017;17,7128
07/08/2017;17,7017
04/08/2017;17,6517
03/08/2017;17,6408
02/08/2017;17,5648
01/08/2017;17,6135
31/07/2017;17,6700
28/07/2017;17,7642
27/07/2017;17,5617
26/07/2017;17,4743
25/07/2017;17,4092
24/07/2017;17,5367
21/07/2017;17,3383
20/07/2017;17,1258
19/07/2017;17,3117
18/07/2017;17,0267
17/07/2017;16,8758
14/07/2017;16,8697
13/07/2017;16,9517
12/07/2017;16,9717
11/07/2017;16,9930
10/07/2017;16,9900
07/07/2017;16,9743
06/07/2017;17,1483
05/07/2017;17,0018
04/07/2017;16,8733
03/07/2017;16,6817
30/06/2017;16,5985
29/06/2017;16,4810
28/06/2017;16,3690
27/06/2017;16,3900
26/06/2017;16,2388
23/06/2017;16,1300
22/06/2017;16,1875
21/06/2017;16,3575
19/06/2017;16,0662
16/06/2017;16,0097
15/06/2017;15,9243
14/06/2017;15,8510
13/06/2017;15,8920
12/06/2017;15,9317
09/06/2017;15,9000
08/06/2017;15,9892
07/06/2017;16,0055
06/06/2017;16,0075
05/06/2017;16,0310
02/06/2017;16,0313
01/06/2017;16,0577
31/05/2017;16,1420
30/05/2017;16,0658
29/05/2017;16,0075
26/05/2017;16,0383
24/05/2017;16,0975
23/05/2017;16,0967
22/05/2017;16,0700
19/05/2017;15,8858
18/05/2017;15,9108
17/05/2017;15,6248
16/05/2017;15,5928
15/05/2017;15,4848
12/05/2017;15,4127
11/05/2017;15,4575
10/05/2017;15,5347
09/05/2017;15,5467
08/05/2017;15,3908
05/05/2017;15,3350
04/05/2017;15,3722
03/05/2017;15,2687
02/05/2017;15,3258
28/04/2017;15,4268
27/04/2017;15,4532
26/04/2017;15,4432
25/04/2017;15,4142
24/04/2017;15,4192
21/04/2017;15,3930
20/04/2017;15,4042
19/04/2017;15,4167
18/04/2017;15,2255
17/04/2017;15,2098
12/04/2017;15,1742
11/04/2017;15,2393
10/04/2017;15,3293
07/04/2017;15,3745
06/04/2017;15,4075
05/04/2017;15,3520
04/04/2017;15,3790
03/04/2017;15,4175
31/03/2017;15,3818
30/03/2017;15,3998
29/03/2017;15,4678
28/03/2017;15,5433
27/03/2017;15,6075
23/03/2017;15,6260
22/03/2017;15,5815
21/03/2017;15,6353
20/03/2017;15,6687
17/03/2017;15,5342
16/03/2017;15,5283
15/03/2017;15,5467
14/03/2017;15,5358
13/03/2017;15,5163
10/03/2017;15,4767
09/03/2017;15,6250
08/03/2017;15,5933
07/03/2017;15,5008
06/03/2017;15,4375
03/03/2017;15,4500
02/03/2017;15,3875
01/03/2017;15,4770
24/02/2017;15,4550
23/02/2017;15,5698
22/02/2017;15,5358
21/02/2017;15,6642
20/02/2017;15,7150
17/02/2017;15,5750
16/02/2017;15,3675
15/02/2017;15,4587
14/02/2017;15,4845
13/02/2017;15,5262
10/02/2017;15,5483
09/02/2017;15,6325
08/02/2017;15,6850
07/02/2017;15,7212
06/02/2017;15,6175
03/02/2017;15,6542
02/02/2017;15,7235
01/02/2017;15,8350
31/01/2017;15,9117
30/01/2017;15,9350
27/01/2017;15,8908
26/01/2017;15,9448
25/01/2017;15,9312
24/01/2017;15,9558
23/01/2017;15,9218
20/01/2017;15,8567
19/01/2017;15,9783
18/01/2017;15,9517
17/01/2017;15,8827
16/01/2017;15,8695
13/01/2017;15,8430
12/01/2017;15,8208
11/01/2017;15,8575
10/01/2017;15,8677
09/01/2017;15,8083
06/01/2017;15,8535
05/01/2017;15,9942
04/01/2017;16,0533
03/01/2017;15,8955
02/01/2017;15,9192
30/12/2016;15,8502
29/12/2016;15,7333
28/12/2016;15,5725
27/12/2016;15,5225
26/12/2016;15,5525
23/12/2016;15,5993
22/12/2016;15,7733
21/12/2016;15,8648
20/12/2016;15,8273
19/12/2016;15,8567
16/12/2016;15,9523
15/12/2016;15,9992
14/12/2016;15,9133
13/12/2016;16,0183
12/12/2016;16,0392
07/12/2016;15,9580
06/12/2016;15,8683
05/12/2016;15,9397
02/12/2016;15,8770
01/12/2016;15,8740
30/11/2016;15,8442
29/11/2016;15,5702
25/11/2016;15,5350
24/11/2016;15,5300
23/11/2016;15,5310
22/11/2016;15,4060
21/11/2016;15,3990
18/11/2016;15,4817
17/11/2016;15,4735
16/11/2016;15,5500
15/11/2016;15,5417
14/11/2016;15,5308
11/11/2016;15,2217
10/11/2016;15,0183
09/11/2016;15,0200
08/11/2016;15,0393
07/11/2016;15,0367
04/11/2016;15,0745
03/11/2016;15,1250
02/11/2016;15,0842
01/11/2016;15,1252
31/10/2016;15,1745
28/10/2016;15,1858
27/10/2016;15,1797
26/10/2016;15,2242
25/10/2016;15,1922
24/10/2016;15,1183
21/10/2016;15,1503
20/10/2016;15,1817
19/10/2016;15,2065
18/10/2016;15,2015
17/10/2016;15,2100
14/10/2016;15,1217
13/10/2016;15,1152
12/10/2016;15,1522
11/10/2016;15,1862
07/10/2016;15,2092
06/10/2016;15,2232
05/10/2016;15,1825
04/10/2016;15,1800
03/10/2016;15,2250
30/09/2016;15,2633
29/09/2016;15,4023
28/09/2016;15,3050
27/09/2016;15,2677
26/09/2016;15,2067
23/09/2016;15,1607
22/09/2016;15,1682
21/09/2016;15,1365
20/09/2016;15,1617
19/09/2016;15,1508
16/09/2016;15,0892
15/09/2016;15,0402
14/09/2016;15,0275
13/09/2016;14,9125
12/09/2016;14,9887
09/09/2016;15,0577
08/09/2016;15,0665
07/09/2016;15,0250
06/09/2016;15,0067
05/09/2016;14,9950
02/09/2016;14,9000
01/09/2016;14,8843
31/08/2016;14,9008
30/08/2016;15,0988
29/08/2016;15,0608
26/08/2016;14,9290
25/08/2016;14,8837
24/08/2016;14,8747
23/08/2016;14,8325
22/08/2016;14,8995
19/08/2016;14,9425
18/08/2016;14,8525
17/08/2016;14,6975
16/08/2016;14,6702
12/08/2016;14,6525
11/08/2016;14,6583
10/08/2016;14,7472
09/08/2016;14,7675
08/08/2016;14,7908
05/08/2016;14,8483
04/08/2016;14,8812
03/08/2016;14,8675
02/08/2016;14,8542
01/08/2016;14,9858
29/07/2016;15,0447
28/07/2016;15,0275
27/07/2016;14,9783
26/07/2016;14,9583
25/07/2016;14,9267
22/07/2016;14,9517
21/07/2016;15,0425
20/07/2016;14,9967
19/07/2016;15,1933
18/07/2016;15,0557
15/07/2016;14,8583
14/07/2016;14,6203
13/07/2016;14,5718
12/07/2016;14,5992
11/07/2016;14,7100
07/07/2016;14,6925
06/07/2016;14,7550
05/07/2016;15,0187
04/07/2016;15,0675
01/07/2016;15,1190
30/06/2016;14,9200
29/06/2016;14,9042
28/06/2016;15,0563
27/06/2016;15,0302
24/06/2016;14,8365
23/06/2016;14,1908
22/06/2016;14,0253
21/06/2016;13,8783
16/06/2016;13,7935
15/06/2016;13,7568
14/06/2016;13,7725
13/06/2016;13,7983
10/06/2016;13,8197
09/06/2016;13,8498
08/06/2016;13,8350
07/06/2016;13,8042
06/06/2016;13,7773
03/06/2016;13,8783
02/06/2016;13,9343
01/06/2016;13,9537
31/05/2016;14,0127
30/05/2016;13,9633
27/05/2016;13,9867
26/05/2016;14,0875
24/05/2016;14,0233
23/05/2016;14,0117
20/05/2016;14,0803
19/05/2016;14,1222
18/05/2016;14,1108
17/05/2016;14,1318
16/05/2016;14,1498
13/05/2016;14,1622
12/05/2016;14,1987
11/05/2016;14,2220
10/05/2016;14,2312
09/05/2016;14,2242
06/05/2016;14,2355
05/05/2016;14,2535
04/05/2016;14,2133
03/05/2016;14,2098
02/05/2016;14,2617
29/04/2016;14,2582
28/04/2016;14,1702
27/04/2016;14,2408
26/04/2016;14,3122
25/04/2016;14,3308
22/04/2016;14,4558
21/04/2016;14,3600
20/04/2016;14,2425
19/04/2016;14,1418
18/04/2016;14,1400
15/04/2016;14,2950
14/04/2016;14,3683
13/04/2016;14,4242
12/04/2016;14,5400
11/04/2016;14,5100
08/04/2016;14,4300
07/04/2016;14,5250
06/04/2016;14,6913
05/04/2016;14,6817
04/04/2016;14,7792
01/04/2016;14,7033
31/03/2016;14,5817
30/03/2016;14,6167
29/03/2016;14,8840
28/03/2016;14,6383
23/03/2016;14,4260
22/03/2016;14,2458
21/03/2016;14,5808
18/03/2016;14,8217
17/03/2016;14,6273
16/03/2016;14,5093
15/03/2016;14,6083
14/03/2016;14,8017
11/03/2016;15,1183
10/03/2016;15,3403
09/03/2016;15,3633
08/03/2016;15,4392
07/03/2016;15,3442
04/03/2016;15,1950
03/03/2016;15,4450
02/03/2016;15,6852
01/03/2016;15,9192
29/02/2016;15,5842
26/02/2016;15,4350
25/02/2016;15,3708
24/02/2016;15,3483
23/02/2016;15,4200
22/02/2016;15,0900
19/02/2016;15,0283
18/02/2016;15,0333
17/02/2016;14,9142
16/02/2016;14,8498
15/02/2016;14,7733
12/02/2016;14,7298
11/02/2016;14,5592
10/02/2016;14,4717
05/02/2016;14,3142
04/02/2016;14,1862
03/02/2016;14,1433
02/02/2016;14,1367
01/02/2016;14,0883
29/01/2016;13,9040
28/01/2016;13,8892
27/01/2016;13,8912
26/01/2016;13,8378
25/01/2016;13,7832
22/01/2016;13,7150
21/01/2016;13,5533
20/01/2016;13,4467
19/01/2016;13,4867
18/01/2016;13,5117
15/01/2016;13,4367
14/01/2016;13,4600
13/01/2016;13,5600
12/01/2016;13,5833
